user,predict_rank,points_count,sequence_count,diversity
0,4,82,3,8
1,6,60,4,9
2,3,149,3,6
3,4,336,7,11
4,3,390,9,12
5,5,87,4,10
7,6,54,3,9
8,2,25,3,4
9,2,36,3,9
10,6,7,3,5
11,1,35,3,15
12,2,40,1,3
13,3,53,7,13
14,1,159,3,6
15,1,45,2,7
16,3,26,4,6
17,4,258,7,12
18,4,9,1,4
19,4,11,2,6
20,2,38,1,1
22,3,101,8,12
23,1,19,1,2
24,4,96,6,10
25,1,122,9,14
28,4,16,1,2
30,3,300,5,7
34,2,49,6,10
35,1,236,4,9
36,3,50,3,9
37,1,46,6,12
38,1,112,4,9
39,7,75,8,9
40,4,17,3,7
41,3,119,5,9
42,2,14,3,5
43,1,33,2,3
44,2,34,3,3
51,5,22,3,7
52,6,74,4,8
56,4,13,1,3
62,3,38,4,6
65,2,31,1,3
67,2,12,6,7
68,5,267,5,7
71,2,15,3,5
73,3,23,2,5
74,3,8,3,5
78,1,33,1,1
82,4,13,3,5
84,3,112,6,7
85,3,156,5,7
89,5,16,2,4
91,3,17,1,3
92,4,40,2,3
96,3,59,2,7
103,2,10,2,4
104,4,48,5,13
111,5,8,1,3
112,3,41,6,11
113,1,6,1,1
115,5,20,4,4
119,2,46,2,2
125,3,12,2,5
126,5,76,10,14
128,4,398,7,8
134,4,20,4,6
140,3,35,9,16
141,4,7,2,4
142,2,39,3,4
144,4,134,8,13
147,4,14,3,5
153,13,750,8,9
163,7,268,5,8
167,1,193,9,11
168,4,11,3,4
169,1,2,1,1
174,5,22,3,7
179,5,44,5,12
200,1,257,4,6
201,2,42,2,2
202,2,50,3,4
203,4,411,5,8
204,4,553,6,8
205,1,27,2,3
207,1,31,2,4
208,4,23,2,5
209,1,55,2,6
210,4,17,5,6
211,2,53,4,13
212,1,51,1,2
213,1,14,5,7
214,1,135,5,6
215,4,43,4,12
216,3,23,3,6
217,3,363,3,5
218,2,25,1,3
219,3,11,2,5
220,2,7,1,1
222,2,189,5,9
223,1,2,1,2
224,7,122,5,12
225,3,129,6,9
228,7,34,3,6
230,2,362,5,9
234,4,43,5,15
235,1,150,4,9
236,3,62,4,9
237,3,49,6,19
238,2,67,5,8
239,7,183,4,6
240,2,31,2,4
241,1,168,3,4
242,7,71,7,9
243,7,44,5,19
244,4,29,5,5
251,4,11,4,7
252,5,85,4,13
256,3,3,2,2
262,9,103,8,10
265,1,35,2,3
267,9,47,8,13
268,2,246,3,5
271,5,47,5,9
273,8,46,4,7
274,2,7,5,6
278,2,29,2,2
282,2,79,1,1
284,6,60,7,12
285,5,98,8,9
289,2,7,2,2
291,2,25,3,5
292,4,54,2,2
296,4,36,6,12
303,8,10,2,5
304,3,70,4,7
311,3,4,2,2
312,1,119,2,5
313,2,11,1,2
315,1,32,1,1
319,2,44,2,2
325,2,24,4,5
326,3,101,5,10
328,3,331,5,7
334,3,14,4,6
340,1,50,9,11
341,4,8,3,5
342,6,47,3,4
344,2,166,5,8
347,3,10,2,4
353,3,575,5,5
363,2,234,3,4
367,4,132,6,10
368,1,46,1,1
369,2,5,1,2
374,4,19,3,4
379,2,7,2,4
