user,predict_rank,points_count,sequence_count,diversity,,user,predict_rank,points_count,sequence_count,diversity,,total_rank,total_counts,total_diversity,,,
0,4,82,3,8,,200,1,257,4,6,,5,339,14,,"user: 0, user_cluster_num: 16, gt_cluster_num: 26",10
1,6,60,4,9,,201,2,42,2,2,,8,102,11,,"user: 1, user_cluster_num: 12, gt_cluster_num: 12",0
2,3,149,3,6,,202,2,50,3,4,,5,199,10,,"user: 2, user_cluster_num: 16, gt_cluster_num: 9",7
3,4,336,7,11,,203,4,411,5,8,,8,747,19,,"user: 3, user_cluster_num: 26, gt_cluster_num: 27",1
4,3,390,9,12,,204,4,553,6,8,,7,943,20,,"user: 4, user_cluster_num: 28, gt_cluster_num: 25",3
5,5,87,4,10,,205,1,27,2,3,,6,114,13,,"user: 5, user_cluster_num: 19, gt_cluster_num: 10",9
7,6,54,3,9,,207,1,31,2,4,,7,85,13,,"user: 7, user_cluster_num: 12, gt_cluster_num: 11",1
8,2,25,3,4,,208,4,23,2,5,,6,48,9,,"user: 8, user_cluster_num: 9, gt_cluster_num: 12",3
9,2,36,3,9,,209,1,55,2,6,,3,91,15,,"user: 9, user_cluster_num: 14, gt_cluster_num: 11",3
10,6,7,3,5,,210,4,17,5,6,,10,24,11,,"user: 10, user_cluster_num: 4, gt_cluster_num: 10",6
11,1,35,3,15,,211,2,53,4,13,,3,88,28,,"user: 11, user_cluster_num: 16, gt_cluster_num: 20",4
12,2,40,1,3,,212,1,51,1,2,,3,91,5,,"user: 12, user_cluster_num: 6, gt_cluster_num: 10",4
13,3,53,7,13,,213,1,14,5,7,,4,67,20,,"user: 13, user_cluster_num: 11, gt_cluster_num: 7",4
14,1,159,3,6,,214,1,135,5,6,,2,294,12,,"user: 14, user_cluster_num: 27, gt_cluster_num: 22",5
15,1,45,2,7,,215,4,43,4,12,,5,88,19,,"user: 15, user_cluster_num: 12, gt_cluster_num: 13",
16,3,26,4,6,,216,3,23,3,6,,6,49,12,,"user: 16, user_cluster_num: 12, gt_cluster_num: 13",
17,4,258,7,12,,217,3,363,3,5,,7,621,17,,"user: 17, user_cluster_num: 27, gt_cluster_num: 30",
18,4,9,1,4,,218,2,25,1,3,,6,34,7,,"user: 20, user_cluster_num: 12, gt_cluster_num: 3",
19,4,11,2,6,,219,3,11,2,5,,7,22,11,,"user: 22, user_cluster_num: 22, gt_cluster_num: 22",
20,2,38,1,1,,220,2,7,1,1,,4,45,2,,"user: 24, user_cluster_num: 19, gt_cluster_num: 28",
22,3,101,8,12,,222,2,189,5,9,,5,290,21,,"user: 25, user_cluster_num: 16, gt_cluster_num: 18",
23,1,19,1,2,,223,1,2,1,2,,2,21,4,,"user: 30, user_cluster_num: 26, gt_cluster_num: 27",
24,4,96,6,10,,224,7,122,5,12,,11,218,22,,"user: 34, user_cluster_num: 14, gt_cluster_num: 15",
25,1,122,9,14,,225,3,129,6,9,,4,251,23,,"user: 35, user_cluster_num: 19, gt_cluster_num: 19",
28,4,16,1,2,,228,7,34,3,6,,11,50,8,,"user: 36, user_cluster_num: 13, gt_cluster_num: 14",
